run_id	relative_path	method	status	seed	episodes	renew_every	buffer_capacity	cost_source	lambda_scope	dual	tau	epsilon	lambda_max	penalty_weight	source_commit	legacy_path
dqn_soft_raw_re20_buf050k_seed07	runs/soft_raw_aoi/dqn_soft_raw_re20_buf050k_seed07	soft_raw_aoi	valid	7	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	n/a	dea3a3d66ffae536fb6fe1bd9899f98dc7abe746	model/Scan_Cadence/dqn_soft_seed7_re20
dqn_soft_raw_re05_buf025k_seed02	runs/soft_raw_aoi/dqn_soft_raw_re05_buf025k_seed02	soft_raw_aoi	valid	2	600	5	25000	n/a	n/a	n/a	8	n/a	n/a	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Mem_Sweep/dqn_soft_seed2_re5_mem25000
dqn_soft_raw_re05_buf025k_seed03	runs/soft_raw_aoi/dqn_soft_raw_re05_buf025k_seed03	soft_raw_aoi	valid	3	600	5	25000	n/a	n/a	n/a	8	n/a	n/a	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Mem_Sweep/dqn_soft_seed3_re5_mem25000
dqn_soft_raw_re05_buf025k_seed04	runs/soft_raw_aoi/dqn_soft_raw_re05_buf025k_seed04	soft_raw_aoi	valid	4	600	5	25000	n/a	n/a	n/a	8	n/a	n/a	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Mem_Sweep/dqn_soft_seed4_re5_mem25000
dqn_soft_raw_re05_buf025k_seed05	runs/soft_raw_aoi/dqn_soft_raw_re05_buf025k_seed05	soft_raw_aoi	valid	5	600	5	25000	n/a	n/a	n/a	8	n/a	n/a	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Mem_Sweep/dqn_soft_seed5_re5_mem25000
dqn_soft_raw_re05_buf025k_seed06	runs/soft_raw_aoi/dqn_soft_raw_re05_buf025k_seed06	soft_raw_aoi	valid	6	600	5	25000	n/a	n/a	n/a	8	n/a	n/a	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Mem_Sweep/dqn_soft_seed6_re5_mem25000
dqn_soft_raw_re05_buf100k_seed02	runs/soft_raw_aoi/dqn_soft_raw_re05_buf100k_seed02	soft_raw_aoi	valid	2	600	5	100000	n/a	n/a	n/a	8	n/a	n/a	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Mem_Sweep/dqn_soft_seed2_re5_mem100000
dqn_soft_raw_re05_buf100k_seed03	runs/soft_raw_aoi/dqn_soft_raw_re05_buf100k_seed03	soft_raw_aoi	valid	3	600	5	100000	n/a	n/a	n/a	8	n/a	n/a	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Mem_Sweep/dqn_soft_seed3_re5_mem100000
dqn_soft_raw_re05_buf100k_seed04	runs/soft_raw_aoi/dqn_soft_raw_re05_buf100k_seed04	soft_raw_aoi	valid	4	600	5	100000	n/a	n/a	n/a	8	n/a	n/a	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Mem_Sweep/dqn_soft_seed4_re5_mem100000
dqn_soft_raw_re05_buf100k_seed05	runs/soft_raw_aoi/dqn_soft_raw_re05_buf100k_seed05	soft_raw_aoi	valid	5	600	5	100000	n/a	n/a	n/a	8	n/a	n/a	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Mem_Sweep/dqn_soft_seed5_re5_mem100000
dqn_soft_raw_re05_buf100k_seed06	runs/soft_raw_aoi/dqn_soft_raw_re05_buf100k_seed06	soft_raw_aoi	valid	6	600	5	100000	n/a	n/a	n/a	8	n/a	n/a	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Mem_Sweep/dqn_soft_seed6_re5_mem100000
dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed02	runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed02	rcpo_global_mean	valid	2	600	5	50000	raw	global_mean	pid	8	0.1	5	n/a	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation3_GlobalLambda/dqn_hard_seed2_re5_global_mean
dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed03	runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed03	rcpo_global_mean	valid	3	600	5	50000	raw	global_mean	pid	8	0.1	5	n/a	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation3_GlobalLambda/dqn_hard_seed3_re5_global_mean
dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed04	runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed04	rcpo_global_mean	valid	4	600	5	50000	raw	global_mean	pid	8	0.1	5	n/a	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation3_GlobalLambda/dqn_hard_seed4_re5_global_mean
dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed05	runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed05	rcpo_global_mean	valid	5	600	5	50000	raw	global_mean	pid	8	0.1	5	n/a	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation3_GlobalLambda/dqn_hard_seed5_re5_global_mean
dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed06	runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed06	rcpo_global_mean	valid	6	600	5	50000	raw	global_mean	pid	8	0.1	5	n/a	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation3_GlobalLambda/dqn_hard_seed6_re5_global_mean
dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed07	runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re05_seed07	rcpo_global_mean	valid	7	600	5	50000	raw	global_mean	pid	8	0.1	5	n/a	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation3_GlobalLambda/dqn_hard_seed7_re5_global_mean
dqn_rcpo_raw_global_max_pid_lmax05_re05_seed02	runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re05_seed02	rcpo_global_max	valid	2	600	5	50000	raw	global_max	pid	8	0.1	5	n/a	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation3_GlobalLambda/dqn_hard_seed2_re5_global_max
dqn_rcpo_raw_global_max_pid_lmax05_re05_seed03	runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re05_seed03	rcpo_global_max	valid	3	600	5	50000	raw	global_max	pid	8	0.1	5	n/a	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation3_GlobalLambda/dqn_hard_seed3_re5_global_max
dqn_rcpo_raw_global_max_pid_lmax05_re05_seed04	runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re05_seed04	rcpo_global_max	valid	4	600	5	50000	raw	global_max	pid	8	0.1	5	n/a	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation3_GlobalLambda/dqn_hard_seed4_re5_global_max
dqn_rcpo_raw_global_max_pid_lmax05_re05_seed05	runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re05_seed05	rcpo_global_max	valid	5	600	5	50000	raw	global_max	pid	8	0.1	5	n/a	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation3_GlobalLambda/dqn_hard_seed5_re5_global_max
dqn_rcpo_raw_global_max_pid_lmax05_re05_seed06	runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re05_seed06	rcpo_global_max	valid	6	600	5	50000	raw	global_max	pid	8	0.1	5	n/a	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation3_GlobalLambda/dqn_hard_seed6_re5_global_max
dqn_rcpo_raw_global_max_pid_lmax05_re05_seed07	runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re05_seed07	rcpo_global_max	valid	7	600	5	50000	raw	global_max	pid	8	0.1	5	n/a	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation3_GlobalLambda/dqn_hard_seed7_re5_global_max
dqn_fixed_ind_w02_re05_seed02	runs/fixed_indicator/dqn_fixed_ind_w02_re05_seed02	fixed_indicator	valid	2	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	2	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed2_re5_qind_w2
dqn_fixed_ind_w02_re05_seed03	runs/fixed_indicator/dqn_fixed_ind_w02_re05_seed03	fixed_indicator	valid	3	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	2	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed3_re5_qind_w2
dqn_fixed_ind_w02_re05_seed04	runs/fixed_indicator/dqn_fixed_ind_w02_re05_seed04	fixed_indicator	valid	4	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	2	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed4_re5_qind_w2
dqn_fixed_ind_w02_re05_seed05	runs/fixed_indicator/dqn_fixed_ind_w02_re05_seed05	fixed_indicator	valid	5	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	2	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed5_re5_qind_w2
dqn_fixed_ind_w02_re05_seed06	runs/fixed_indicator/dqn_fixed_ind_w02_re05_seed06	fixed_indicator	valid	6	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	2	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed6_re5_qind_w2
dqn_fixed_ind_w02_re05_seed07	runs/fixed_indicator/dqn_fixed_ind_w02_re05_seed07	fixed_indicator	valid	7	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	2	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed7_re5_qind_w2
dqn_fixed_ind_w05_re05_seed02	runs/fixed_indicator/dqn_fixed_ind_w05_re05_seed02	fixed_indicator	valid	2	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	5	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed2_re5_qind_w5
dqn_fixed_ind_w05_re05_seed03	runs/fixed_indicator/dqn_fixed_ind_w05_re05_seed03	fixed_indicator	valid	3	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	5	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed3_re5_qind_w5
dqn_fixed_ind_w05_re05_seed04	runs/fixed_indicator/dqn_fixed_ind_w05_re05_seed04	fixed_indicator	valid	4	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	5	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed4_re5_qind_w5
dqn_fixed_ind_w05_re05_seed05	runs/fixed_indicator/dqn_fixed_ind_w05_re05_seed05	fixed_indicator	valid	5	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	5	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed5_re5_qind_w5
dqn_fixed_ind_w05_re05_seed06	runs/fixed_indicator/dqn_fixed_ind_w05_re05_seed06	fixed_indicator	valid	6	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	5	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed6_re5_qind_w5
dqn_fixed_ind_w05_re05_seed07	runs/fixed_indicator/dqn_fixed_ind_w05_re05_seed07	fixed_indicator	valid	7	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	5	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed7_re5_qind_w5
dqn_fixed_ind_w10_re05_seed02	runs/fixed_indicator/dqn_fixed_ind_w10_re05_seed02	fixed_indicator	valid	2	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	10	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed2_re5_qind_w10
dqn_fixed_ind_w10_re05_seed03	runs/fixed_indicator/dqn_fixed_ind_w10_re05_seed03	fixed_indicator	valid	3	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	10	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed3_re5_qind_w10
